Name,Price,Color,Image,Link
"3 Piece  Embroidered Dyed Dobby Suit With Printed Chiffon Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 4,543",Black,https://www.alkaramstudio.com/cdn/shop/files/SS-2-25-1-BLACK-1_8d7f3555-e268-4565-b534-fb08dcf6b943.jpg?v=1736449511,https://www.alkaramstudio.com/products/3-piece-embroidered-dyed-dobby-suit-with-printed-chiffon-dupatta-ss-2-25-1-black
"3 Piece  Embroidered Dyed Self Jacquard Suit With Printed Chiffon Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 5,192",Pink,https://www.alkaramstudio.com/cdn/shop/files/SS-2.1-25-1-PINK-1_b9a671aa-9632-4048-a855-828f122733f5.jpg?v=1736793181,https://www.alkaramstudio.com/products/3-piece-embroidered-dyed-self-jacquard-suit-with-printed-chiffon-dupatta-ss-2-1-25-1-pink
"3 Piece  Embroidered Printed Lawn Suit With Printed Zari Chiffon Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 4,712",Blue,https://www.alkaramstudio.com/cdn/shop/files/SS-3.1-25-1-BLUE-1_45b4750f-4277-4eb5-8ec0-355375e58c10.jpg?v=1736449895,https://www.alkaramstudio.com/products/3-piece-embroidered-printed-lawn-suit-with-printed-zari-chiffon-dupatta-ss-3-1-25-1-blue
"3 Piece  Printed Lawn Suit With Printed Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 3,032",Blue,https://www.alkaramstudio.com/cdn/shop/files/SS-21-25-1-BLUE-1_e06e9ab7-f5e0-4eee-80e5-b65c476b342a.jpg?v=1736449737,https://www.alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-lawn-dupatta-ss-21-25-1-blue
"3 Piece  Printed Lawn Suit With Printed Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 3,192",Yellow,https://www.alkaramstudio.com/cdn/shop/files/SS-20-25-1-YELLOW-1_9851317f-3a6d-446d-87ff-cfe93d098536.jpg?v=1736449701,https://www.alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-lawn-dupatta-ss-20-25-1-yellow
"3 Piece  Printed Lawn Suit With Printed Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 2,793",Green,https://www.alkaramstudio.com/cdn/shop/files/SS-19-25-1-GREEN-1.jpg?v=1736793371,https://www.alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-lawn-dupatta-ss-19-25-1-green
"2 Piece  Printed Lawn Suit With Printed Cambric Trouser
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 2,152",Sage Green,https://www.alkaramstudio.com/cdn/shop/files/SS-35-25-1-SAGE_GREEN-1_6a8dc6e5-604c-4868-b5b8-dd220cc38999.jpg?v=1736420127,https://www.alkaramstudio.com/products/2-piece-printed-lawn-suit-with-printed-cambric-trouser-ss-35-25-1-sage-green
"3 Piece  Printed Lawn Suit With Printed Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...","PKR 3,192",Pink,https://www.alkaramstudio.com/cdn/shop/files/SS-15-25-1-PINK-1_fedaaa50-7729-4d3b-a091-f249d8575568.jpg?v=1736449630,https://www.alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-lawn-dupatta-ss-15-25-1-pink
"2 Piece Printed Lawn Suit With Printed Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...",Not Available,Orange,https://www.alkaramstudio.com/cdn/shop/files/SS-67.1-25-2-ORANGE-1_c338d718-0c52-4b07-af2c-abc26cd0e852.jpg?v=1742500574,https://www.alkaramstudio.com/products/2-piece-printed-lawn-suit-with-printed-lawn-dupatta-ss-67-1-25-2-orange
"3 Piece Printed Lawn Suit With Printed Silver Lawn Dupatta
             
             
             
             
             
             
             
             
             
             
             
             
             
             
              
               	   	
              		




...",Not Available,Pink,https://www.alkaramstudio.com/cdn/shop/files/SS-63.1-25-2-PINK-1_9c9138b9-f231-48ee-8d8f-c91e1f23441c.jpg?v=1742500555,https://www.alkaramstudio.com/products/3-piece-printed-lawn-suit-with-printed-silver-lawn-dupatta-ss-63-1-25-2-pink
