Name,Price,Color,Image,Link
Mumtaz Mahal,"Rs.310,000",Deep,https://www.mariab.pk/cdn/shop/files/FX867Front_A_{width}x.jpg?v=1744893486,https://www.mariab.pk/products/fx-876
Begum Jahanara,"Rs.250,000",Navy,https://www.mariab.pk/cdn/shop/files/FX892Front_A_{width}x.jpg?v=1744877875,https://www.mariab.pk/products/fx-892
Roshanara Begum,"Rs.299,000",Mustard,https://www.mariab.pk/cdn/shop/files/FX890Side_B_{width}x.jpg?v=1744878037,https://www.mariab.pk/products/fx-890
Nawab Jan,"Rs.275,000",Black,https://www.mariab.pk/cdn/shop/files/FX879Front_A_{width}x.jpg?v=1744878457,https://www.mariab.pk/products/fx-879
Shahzadi Khanum,"Rs.199,000",Maroon,https://www.mariab.pk/cdn/shop/files/FX878Front_B_{width}x.jpg?v=1744878550,https://www.mariab.pk/products/fx-878
Noor Jahan,"Rs.350,000",Rust,https://www.mariab.pk/cdn/shop/files/FX875Front_A_{width}x.jpg?v=1744878706,https://www.mariab.pk/products/fx-875
Zeenat-un-Nisa,"Rs.215,000",Peachy,https://www.mariab.pk/cdn/shop/files/FX874Front_A_{width}x.jpg?v=1744878830,https://www.mariab.pk/products/fx-874
Zamrood Ara,"Rs.185,000",Emerald,https://www.mariab.pk/cdn/shop/files/FX873Front_A_{width}x.jpg?v=1744878950,https://www.mariab.pk/products/fx-873
Bibi Sultana,"Rs.299,000",Gold,https://www.mariab.pk/cdn/shop/files/FX872Front_A_{width}x.jpg?v=1744879031,https://www.mariab.pk/products/fx-872
Hur-ul-Nisa,"Rs.225,000",Hot,https://www.mariab.pk/cdn/shop/files/FX871Front_A_{width}x.jpg?v=1744879120,https://www.mariab.pk/products/fx-871
Malika Jahan,"Rs.739,000",Lime,https://www.mariab.pk/cdn/shop/files/FX891Front_A_{width}x.jpg?v=1744879205,https://www.mariab.pk/products/fx-891
Alora,"Rs.330,000",Grey,https://www.mariab.pk/cdn/shop/files/FX-864Side_{width}x.jpg?v=1716979840,https://www.mariab.pk/products/fx-864
Pearla,"Rs.230,000",Off,https://www.mariab.pk/cdn/shop/files/FX-863Front_{width}x.jpg?v=1716369387,https://www.mariab.pk/products/fx-863
Irem,"Rs.400,000",Off,https://www.mariab.pk/cdn/shop/files/FX-862Front_{width}x.jpg?v=1716979748,https://www.mariab.pk/products/fx-862
Milan,"Rs.275,000",Mouse,https://www.mariab.pk/cdn/shop/files/FX-867Front_{width}x.jpg?v=1716369007,https://www.mariab.pk/products/fx-867
Freya,"Rs.250,000",Ice,https://www.mariab.pk/cdn/shop/files/FX-868Front-2_{width}x.jpg?v=1716368772,https://www.mariab.pk/products/fx-868
Wosr,"Rs.375,000",Nude,https://www.mariab.pk/cdn/shop/files/FX-865Front-2_{width}x.jpg?v=1716368678,https://www.mariab.pk/products/fx-865
Elle,"Rs.240,000",Powder,https://www.mariab.pk/cdn/shop/files/FX-869Front_{width}x.jpg?v=1716368506,https://www.mariab.pk/products/fx-869
Elfesya,"Rs.525,000",patchwork,https://www.mariab.pk/cdn/shop/files/FX-866Front_{width}x.jpg?v=1716367974,https://www.mariab.pk/products/fx-866
Manar,"Rs.550,000",Rust,https://www.mariab.pk/cdn/shop/products/2r2a7243_{width}x.jpg?v=1672343822,https://www.mariab.pk/products/ex-147
Orit,"Rs.515,000",Pinky,https://www.mariab.pk/cdn/shop/products/2r2a7478_{width}x.jpg?v=1672343814,https://www.mariab.pk/products/ex-149a
Pazit,"Rs.165,000",Black,https://www.mariab.pk/cdn/shop/products/d-01_front_{width}x.jpg?v=1673352429,https://www.mariab.pk/products/fx-857
Chashmona,"Rs.225,000",Pink,https://www.mariab.pk/cdn/shop/products/d-0_front_1_{width}x.jpg?v=1673349795,https://www.mariab.pk/products/fx-855
Harleen,"Rs.200,000",Deep,https://www.mariab.pk/cdn/shop/products/d-00_front_{width}x.jpg?v=1673349757,https://www.mariab.pk/products/fx-860
Navjot,"Rs.230,000",Yellow,https://www.mariab.pk/cdn/shop/products/d-000_front_{width}x.jpg?v=1672343769,https://www.mariab.pk/products/fx-852
Avani,"Rs.155,000",Black,https://www.mariab.pk/cdn/shop/products/d-04_front_{width}x.jpg?v=1672343765,https://www.mariab.pk/products/fx-854
Kavya,"Rs.215,000",Black,https://www.mariab.pk/cdn/shop/products/d-03_front_{width}x.jpg?v=1672343762,https://www.mariab.pk/products/fx-856
Intisar,"Rs.230,000",Emerald,https://www.mariab.pk/cdn/shop/products/fx-853_{width}x.jpg?v=1672343758,https://www.mariab.pk/products/fx-853
Sarolta,"Rs.225,000",Gold,https://www.mariab.pk/cdn/shop/products/fx-858_1_{width}x.jpg?v=1672343755,https://www.mariab.pk/products/fx-858
Ketifa,"Rs.235,000",Red,https://www.mariab.pk/cdn/shop/products/0004_fx-850_{width}x.jpg?v=1672343752,https://www.mariab.pk/products/fx-850
Xarina,"Rs.285,000",Purple,https://www.mariab.pk/cdn/shop/products/fx-841_{width}x.jpg?v=1672343748,https://www.mariab.pk/products/fx-841
Seraphin,"Rs.400,000",s,https://www.mariab.pk/cdn/shop/products/fx-840_{width}x.jpg?v=1672343744,https://www.mariab.pk/products/fx-840
Gulnur,"Rs.285,000",Mustard,https://www.mariab.pk/cdn/shop/products/fx-842_{width}x.jpg?v=1672343740,https://www.mariab.pk/products/fx-842
Sera,"Rs.325,000",Maroon,https://www.mariab.pk/cdn/shop/products/fx-829_{width}x.jpg?v=1672343723,https://www.mariab.pk/products/fx-829
Amaia,"Rs.250,000",Black,https://www.mariab.pk/cdn/shop/products/fx-831_{width}x.jpg?v=1672343719,https://www.mariab.pk/products/fx-831
Gulfiliz,"Rs.280,000",Coffee,https://www.mariab.pk/cdn/shop/products/fx-805b11_{width}x.jpg?v=1672343708,https://www.mariab.pk/products/fx-805b
Gulnaz,"Rs.300,000",Coffee,https://www.mariab.pk/cdn/shop/products/fx-805a_{width}x.jpg?v=1672343706,https://www.mariab.pk/products/fx-805a
Nelofer,"Rs.285,000",Red,https://www.mariab.pk/cdn/shop/products/fx-804b_{width}x.jpg?v=1672333365,https://www.mariab.pk/products/fx-804b
Esme,"Rs.265,000",Sea,https://www.mariab.pk/cdn/shop/products/fx-654_{width}x.jpg?v=1672333356,https://www.mariab.pk/products/fx-654
Sevinc,"Rs.255,000",Sea,https://www.mariab.pk/cdn/shop/products/fx-824_{width}x.jpg?v=1672333352,https://www.mariab.pk/products/fx-824
Ziv,"Rs.300,000",Apple,https://www.mariab.pk/cdn/shop/products/fx-774_{width}x.jpg?v=1672333348,https://www.mariab.pk/products/fx-774
Elayne,"Rs.315,000",Orange,https://www.mariab.pk/cdn/shop/products/fx-789_{width}x.jpg?v=1672333342,https://www.mariab.pk/products/fx-789
Melvin,"Rs.270,000",Ice,https://www.mariab.pk/cdn/shop/products/3_front_{width}x.jpg?v=1672330936,https://www.mariab.pk/products/fx-848
Aergul,"Rs.425,000",Maroon,https://www.mariab.pk/cdn/shop/products/fx-832_{width}x.jpg?v=1672330876,https://www.mariab.pk/products/fx-832
Juliana,"Rs.515,000",Ice,https://www.mariab.pk/cdn/shop/products/ex-122_{width}x.jpg?v=1672330868,https://www.mariab.pk/products/ex-122
Narina,"Rs.550,000",Anari,https://www.mariab.pk/cdn/shop/products/ex-123_{width}x.jpg?v=1672330864,https://www.mariab.pk/products/ex-123
Thamayra,"Rs.250,000",Powder,https://www.mariab.pk/cdn/shop/products/6_front_1_{width}x.jpg?v=1672330304,https://www.mariab.pk/products/fx-861
