Name,Price,Color,Image,Link
3 Piece Unstitched Embroidered Paper Cotton Suit | D-2501-A,"Rs.18,890",Olive,https://www.mariab.pk/cdn/shop/files/D-1AFront_A_58d69ae0-0789-4954-8058-e37563d31b76_{width}x.jpg?v=1740208668,https://www.mariab.pk/products/d-2501-a
3 Piece Unstitched Embroidered Paper Cotton Suit | D-2501-B,"Rs.18,890",Rust,https://www.mariab.pk/cdn/shop/files/D-1BFront_A_a006fb33-1979-4d9d-a125-2d366f5efd2a_{width}x.jpg?v=1740208756,https://www.mariab.pk/products/d-2501-b
3 Piece Unstitched Embroidered Lawn Suit | D-2502-B,"Rs.19,490",Magenta,https://www.mariab.pk/cdn/shop/files/D-2BFront_A_686c9c73-c828-4fc6-acf4-4bc32cb12507_{width}x.jpg?v=1740208941,https://www.mariab.pk/products/d-2502-b
3 Piece Unstitched Embroidered Lawn Suit | D-2503-B,"Rs.18,890",Ferozi,https://www.mariab.pk/cdn/shop/files/D-3BFront_A_40bd0d20-bdc3-4a80-a582-46a3591b7f7d_{width}x.jpg?v=1740209138,https://www.mariab.pk/products/d-2503-b
3 Piece Unstitched Embroidered Lawn Suit | D-2504-A,"Rs.19,490",Red,https://www.mariab.pk/cdn/shop/files/D-4AFront_A_05ddbc0f-7afe-4ff6-8c38-0442dfd4ec67_{width}x.jpg?v=1740209489,https://www.mariab.pk/products/d-2504-a
3 Piece Unstitched Embroidered Paper Cotton Suit | D-2505-A,"Rs.19,490",Off,https://www.mariab.pk/cdn/shop/files/D-5AFront_A_0737aca5-f18f-4b09-b342-8c935a61bd54_{width}x.jpg?v=1740209585,https://www.mariab.pk/products/d-2505-a
3 Piece Unstitched Embroidered Paper Cotton Suit | D-2505-B,"Rs.19,490",Orange,https://www.mariab.pk/cdn/shop/files/D-5BFront_A_651c54be-75f7-44a4-a13d-973a1596cf61_{width}x.jpg?v=1740209642,https://www.mariab.pk/products/d-2505-b
3 Piece Unstitched Embroidered Organza Suit | D-2506-A,"Rs.19,490",Pearl,https://www.mariab.pk/cdn/shop/files/D-6AFront_A_cb823b39-b966-44de-87eb-229d312d42dd_{width}x.jpg?v=1740209690,https://www.mariab.pk/products/d-2506-a
3 Piece Unstitched Embroidered Organza Suit | D-2506-B,"Rs.19,490",Violet,https://www.mariab.pk/cdn/shop/files/D-6BFront_C_{width}x.jpg?v=1740209759,https://www.mariab.pk/products/d-2506-b
3 Piece Unstitched Embroidered Net Suit | D-2507-A,"Rs.18,190",Green,https://www.mariab.pk/cdn/shop/files/D-7AFront_A_e67508bb-87b2-4905-8eda-b88212e64f46_{width}x.jpg?v=1740209795,https://www.mariab.pk/products/d-2507-a
3 Piece Unstitched Embroidered Net Suit | D-2507-B,"Rs.18,190",Plum,https://www.mariab.pk/cdn/shop/files/D-7BFront_A_c50764d5-e6ef-4a51-91c9-a15cb3e9026f_{width}x.jpg?v=1740209865,https://www.mariab.pk/products/d-2507-b
3 Piece Unstitched Embroidered Lawn Suit | D-2508-A,"Rs.18,890",Fuchsia,https://www.mariab.pk/cdn/shop/files/D-8AFront_A_3ba314cc-11d6-4e5a-a99d-96e4488b0774_{width}x.jpg?v=1740209909,https://www.mariab.pk/products/d-2508-a
3 Piece Unstitched Embroidered Lawn Suit | D-2508-B,"Rs.18,890",Emerald,https://www.mariab.pk/cdn/shop/files/D-8BFront_A_c2b4800c-9325-473b-aa26-fbd16f57d665_{width}x.jpg?v=1740209961,https://www.mariab.pk/products/d-2508-b
3 Piece Unstitched Embroidered Organza Suit | D-2509-A,"Rs.18,890",Yellow,https://www.mariab.pk/cdn/shop/files/D-9AFront_A_e60e8ee8-9232-4cb5-83cd-9d8b1cffe418_{width}x.jpg?v=1740210006,https://www.mariab.pk/products/d-2509-a
3 Piece Unstitched Embroidered Organza Suit | D-2509-B,"Rs.18,890",Ice,https://www.mariab.pk/cdn/shop/files/D-9BFront_A_6ab67af3-4358-4236-914b-4c5dd27d84d7_{width}x.jpg?v=1740210059,https://www.mariab.pk/products/d-2509-b
