Name,Price,Color,Image,URL
3 Piece - Embroidered Suit - PE25-177,"Rs. 11,990.00",Candy Purple,https://nishatlinen.com/cdn/shop/files/PE25-177-_4.jpg?v=1746508523&width=720,https://nishatlinen.com/products/pe25-177
3 Piece - Printed Embroidered Suit - PE25-485,"Rs. 10,990.00",Grey,https://nishatlinen.com/cdn/shop/files/PE25-485-_1.jpg?v=1746508499&width=720,https://nishatlinen.com/products/pe25-485
3 Piece - Basic Suit - PE25-48,"Rs. 14,990.00",Peach Pink,https://nishatlinen.com/cdn/shop/files/PE25-48-_6.jpg?v=1746422967&width=720,https://nishatlinen.com/products/pe25-48
3 Piece - Embroidered Suit - PE25-368,"Rs. 10,990.00",Maroon,https://nishatlinen.com/cdn/shop/files/PE25-368-_5.jpg?v=1746423001&width=720,https://nishatlinen.com/products/pe25-368
3 Piece - Printed Embroidered Suit - PMD25-13 M,"Rs. 11,990.00",Maroon,https://nishatlinen.com/cdn/shop/files/PMD25-13-_27_68714e61-3b55-4ce0-91d3-ebff857bc8c6.jpg?v=1742462169&width=720,https://nishatlinen.com/products/pmd25-13-m
3 Piece - Printed Embroidered Suit - PMD25-13 D,"Rs. 4,490.00",Maroon,https://nishatlinen.com/cdn/shop/files/PMD25-13-_8.jpg?v=1742458507&width=720,https://nishatlinen.com/products/pmd25-13-d
3 Piece - Embroidered Suit - PMD25-15 M,"Rs. 9,990.00",Off White,https://nishatlinen.com/cdn/shop/files/PMD25-15-_7_f7289f69-208f-4346-ad44-1b4318d7595e.jpg?v=1742456732&width=720,https://nishatlinen.com/products/pmd25-15-m
3 Piece - Embroidered Suit - PMD25-15 D,"Rs. 5,990.00",Off White,https://nishatlinen.com/cdn/shop/files/PMD25-06-_15_83e71cea-f4e6-43a3-97d6-cd8f46b090e6.jpg?v=1742456705&width=720,https://nishatlinen.com/products/pmd25-15-d
3 Piece - Basic Suit - PE25-46,"Rs. 15,990.00",Peach,https://nishatlinen.com/cdn/shop/files/PE25-46-_6.jpg?v=1746508025&width=720,https://nishatlinen.com/products/pe25-46
3 Piece - Embroidered Suit - PE25-362,"Rs. 10,990.00",Green,https://nishatlinen.com/cdn/shop/files/PE25-362-_1.jpg?v=1746508045&width=720,https://nishatlinen.com/products/pe25-362
