Name,Price,Color,Image,URL
Basic Shirt - FE25-14,"Rs. 7,490.00",Green,https://nishatlinen.com/cdn/shop/files/FE25-14-_3.jpg?v=1742367239&width=720,https://nishatlinen.com/products/fe25-14
3 Piece - Basic Suit - PE25-48,"Rs. 14,990.00",Peach Pink,https://nishatlinen.com/cdn/shop/files/PE25-48-_6.jpg?v=1746422967&width=720,https://nishatlinen.com/products/pe25-48
2 Piece - Basic Suit - PE25-45,"Rs. 9,990.00",Orange,https://nishatlinen.com/cdn/shop/files/PE25-45-_7.jpg?v=1746508295&width=720,https://nishatlinen.com/products/pe25-45
2 Piece - Basic Suit - PE25-165,"Rs. 8,990.00",Redish Maroon,https://nishatlinen.com/cdn/shop/files/PE25-165-_1.jpg?v=1746424854&width=720,https://nishatlinen.com/products/pe25-165
3 Piece - Basic Suit - PE25-46,"Rs. 15,990.00",Peach,https://nishatlinen.com/cdn/shop/files/PE25-46-_6.jpg?v=1746508025&width=720,https://nishatlinen.com/products/pe25-46
2 Piece - Basic Suit - AS25-42,"Rs. 8,990.00",Peach,https://nishatlinen.com/cdn/shop/files/AS25-42-_9.jpg?v=1742369083&width=720,https://nishatlinen.com/products/as25-42
2 Piece - Basic Suit - PE25-50,"Rs. 10,990.00",CONTRAST Collection,https://nishatlinen.com/cdn/shop/files/PE25-50-_2.jpg?v=1740649751&width=720,https://nishatlinen.com/products/pe25-50
Basic Shirt - FE25-100,"Rs. 9,490.00",Pale Lilac,https://nishatlinen.com/cdn/shop/files/FE25-100-_4.jpg?v=1743225165&width=720,https://nishatlinen.com/products/fe25-100
Embroidered Shirt - PS25-22,"Rs. 4,490.00",Orange,https://nishatlinen.com/cdn/shop/files/PS25-22-_1_36eabae8-ebb9-4ef0-a0f5-b853f4c7ded7.jpg?v=1737788651&width=720,https://nishatlinen.com/products/ps25-22
3 Piece - Printed Embroidered Suit - PS25-77,"Rs. 11,990.00",Beige,https://nishatlinen.com/cdn/shop/files/PS25-77-_3_c15d3d25-285c-4b53-9baf-6895cc0721e0.jpg?v=1739870800&width=720,https://nishatlinen.com/products/ps25-77
2 Piece - Embroidered Suit - FS25-13,"Rs. 9,990.00",Green,https://nishatlinen.com/cdn/shop/files/FS25-13-_5.jpg?v=1740127102&width=720,https://nishatlinen.com/products/fs25-13
Basic Tunic - AS25-23,"Rs. 3,590.00",Black,https://nishatlinen.com/cdn/shop/files/AS25-23-_1.jpg?v=1741156241&width=720,https://nishatlinen.com/products/as25-23
Basic Shirt - PE25-49,"Rs. 5,490.00",Green,https://nishatlinen.com/cdn/shop/files/PE25-49-_7.jpg?v=1739514121&width=720,https://nishatlinen.com/products/pe25-49
2 Piece - Embroidered Suit - PS25-38,"Rs. 7,990.00",Ivory,https://nishatlinen.com/cdn/shop/files/PS25-38-_3_f2ecc283-fdfb-406c-9d61-03cad2ba4433.jpg?v=1737786491&width=720,https://nishatlinen.com/products/ps25-38
