Name,Price,Color,Image,Link
Embroidered Chiffon Saree | BDS-3001,"Rs.61,700",Tea,https://www.mariab.pk/cdn/shop/files/BD3001Front_A_{width}x.jpg?v=1746199204,https://www.mariab.pk/products/bds-3001
3 Piece Embroidered Net Suit | BDS-3002,"Rs.59,300",Aqua,https://www.mariab.pk/cdn/shop/files/BD3002Front_A_{width}x.jpg?v=1746199280,https://www.mariab.pk/products/bds-3002
3 Piece Embroidered Chiffon Suit | BDS-3003,"Rs.59,300",Magenta,https://www.mariab.pk/cdn/shop/files/BD3003Front_A_{width}x.jpg?v=1746199387,https://www.mariab.pk/products/bds-3003
3 Piece Embroidered Organza Suit | BDS-3004,"Rs.59,300",Black,https://www.mariab.pk/cdn/shop/files/BD3004Front_A_{width}x.jpg?v=1746199443,https://www.mariab.pk/products/bds-3004
3 Piece Embroidered Chiffon Suit | BDS-3005,"Rs.59,300",Ice,https://www.mariab.pk/cdn/shop/files/BD3005Front_A_{width}x.jpg?v=1746199508,https://www.mariab.pk/products/bds-3005
3 Piece Embroidered Organza Suit | BDS-3006,"Rs.61,700",Grey,https://www.mariab.pk/cdn/shop/files/BD3006Front_A_{width}x.jpg?v=1746199558,https://www.mariab.pk/products/bds-3006
3 Piece Embroidered Chiffon Suit | BDS-3007,"Rs.59,300",Off,https://www.mariab.pk/cdn/shop/files/BD3007Front_A_1_{width}x.jpg?v=1746199621,https://www.mariab.pk/products/bds-3007
3 Piece Embroidered Chiffon Suit | BDS-3008,"Rs.59,300",Emerald,https://www.mariab.pk/cdn/shop/files/BD3008Front_A_{width}x.jpg?v=1746199670,https://www.mariab.pk/products/bds-3008
3 Piece Embroidered Paper Cotton Suit | DS-2501-A,"Rs.28,290",Olive,https://www.mariab.pk/cdn/shop/files/D-1AFront_A_7e1877ae-6c01-4060-9a83-875c983a5c75_{width}x.jpg?v=1741934171,https://www.mariab.pk/products/ds-2501-a
3 Piece Embroidered Paper Cotton Suit | DS-2501-B,"Rs.28,290",Rust,https://www.mariab.pk/cdn/shop/files/D-1BFront_A_b9262920-fdec-483d-9e30-97c87d4b9bce_{width}x.jpg?v=1741934231,https://www.mariab.pk/products/ds-2501-b
3 Piece Embroidered Lawn Suit | DS-2502-A,"Rs.28,890",Coffee,https://www.mariab.pk/cdn/shop/files/D-2AFront_A_8800b32c-f43d-4c73-90b8-697e48d6f9f4_{width}x.jpg?v=1741934287,https://www.mariab.pk/products/ds-2502-a
3 Piece Embroidered Lawn Suit | DS-2502-B,"Rs.28,890",Magenta,https://www.mariab.pk/cdn/shop/files/D-2BFront_A_9ae6e209-3e61-4edc-b2c7-5d45c1a37891_{width}x.jpg?v=1741934343,https://www.mariab.pk/products/ds-2502-b
3 Piece Embroidered Lawn Suit | DS-2503-A,"Rs.28,290",Coffee,https://www.mariab.pk/cdn/shop/files/D-3AFront_A_ca65941f-c6f9-4636-a9c8-f80f275a337d_{width}x.jpg?v=1741934387,https://www.mariab.pk/products/ds-2503-a
3 Piece Embroidered Lawn Suit | DS-2503-B,"Rs.28,290",Ferozi,https://www.mariab.pk/cdn/shop/files/D-3BFront_A_80d1513c-7488-4201-b345-69e133b06bad_{width}x.jpg?v=1741934429,https://www.mariab.pk/products/ds-2503-b
3 Piece Embroidered Lawn Suit | DS-2504-A,"Rs.28,890",Red,https://www.mariab.pk/cdn/shop/files/D-4AFront_A_79019062-ee01-460d-864c-eb4a6e6aec64_{width}x.jpg?v=1741934480,https://www.mariab.pk/products/ds-2504-a
3 Piece Embroidered Paper Cotton Suit | DS-2505-A,"Rs.28,890",Off,https://www.mariab.pk/cdn/shop/files/D-5AFront_A_9e7d9d41-ca12-413a-9c59-9b2fe04d5293_{width}x.jpg?v=1741934601,https://www.mariab.pk/products/ds-2505-a
3 Piece Embroidered Paper Cotton Suit | DS-2505-B,"Rs.28,890",Orange,https://www.mariab.pk/cdn/shop/files/D-5BFront_A_20f60e32-ab73-4204-9964-ed158c280084_{width}x.jpg?v=1741934700,https://www.mariab.pk/products/ds-2505-b
3 Piece Embroidered Net Suit | DS-2507-A,"Rs.27,490",Green,https://www.mariab.pk/cdn/shop/files/D-7AFront_A_96e32ebd-728b-4b8e-8268-138002e2c368_{width}x.jpg?v=1741934839,https://www.mariab.pk/products/ds-2507-a
3 Piece Embroidered Net Suit | DS-2507-B,"Rs.27,490",Plum,https://www.mariab.pk/cdn/shop/files/D-7BFront_A_ccf140af-80ab-4ce3-8da9-e509653a11cb_{width}x.jpg?v=1741934899,https://www.mariab.pk/products/ds-2507-b
3 Piece Embroidered Lawn Suit | DS-2508-A,"Rs.28,290",Fuchsia,https://www.mariab.pk/cdn/shop/files/D-8AFront_A_c0f280b1-ac01-4b3e-a16d-3922ebb1c8fe_{width}x.jpg?v=1741935036,https://www.mariab.pk/products/ds-2508-a
3 Piece Embroidered Lawn Suit | DS-2508-B,"Rs.28,290",Emerald,https://www.mariab.pk/cdn/shop/files/D-8BFront_A_ed594ae4-3a70-40e9-8c13-9ad9adbf0831_{width}x.jpg?v=1741935092,https://www.mariab.pk/products/ds-2508-b
3 Piece Embroidered Organza Suit | DS-2509-A,"Rs.28,290",Yellow,https://www.mariab.pk/cdn/shop/files/D-9AFront_A_ba6eaece-17c6-41f0-9a15-0ffc056102ab_{width}x.jpg?v=1741935149,https://www.mariab.pk/products/ds-2509-a
3 Piece Embroidered Paper Cotton Suit | DS-2510-A,"Rs.27,490",White,https://www.mariab.pk/cdn/shop/files/D-10AFront_A_156a795f-9396-45c8-8b79-837c4a615d98_{width}x.jpg?v=1741935243,https://www.mariab.pk/products/ds-2510-a
3 Piece Embroidered Paper Cotton Suit | DS-2510-B,"Rs.27,490",Mouse,https://www.mariab.pk/cdn/shop/files/D-10BFront_A_6620433a-77f1-4cdc-a817-71e429258d76_{width}x.jpg?v=1741935291,https://www.mariab.pk/products/ds-2510-b
3 Piece Embroidered Lawn Suit | DS-2511-A,"Rs.27,490",Powder,https://www.mariab.pk/cdn/shop/files/D-11AFront_A_4ebc9966-7831-4d2e-99af-c1851906d3f5_{width}x.jpg?v=1741935330,https://www.mariab.pk/products/ds-2511-a
3 Piece Embroidered Lawn Suit | DS-2512-A,"Rs.28,290",Lime,https://www.mariab.pk/cdn/shop/files/D-12AFront_A_1a1c90b7-da89-4f3f-9a6e-ccda37c2ade4_{width}x.jpg?v=1741935425,https://www.mariab.pk/products/ds-2512-a
