Name,Price,Color,Image,Link
3 Piece Embroidered Paper Cotton Suit |  DW-EA25-58,"Rs.25,990",Red,https://www.mariab.pk/cdn/shop/files/DWEA2558Front_A_{width}x.jpg?v=1746883210,https://www.mariab.pk/products/dw-ea25-58-red
3 Piece Embroidered Paper Cotton Suit |  DW-EA25-58,"Rs.25,990",Peach,https://www.mariab.pk/cdn/shop/files/DWEA2558Front_A_2_{width}x.jpg?v=1746882934,https://www.mariab.pk/products/dw-ea25-58-peach
3 Piece Embroidered Lawn Suit |  DW-EA25-37,"Rs.22,990",Coffee,https://www.mariab.pk/cdn/shop/files/DWEA2537Front_A_{width}x.jpg?v=1746882782,https://www.mariab.pk/products/dw-ea25-37-coffee
3 Piece Embroidered Lawn Suit |  DW-EA25-15,"Rs.26,990",Peach,https://www.mariab.pk/cdn/shop/files/DWEA2515Front_A_{width}x.jpg?v=1746797781,https://www.mariab.pk/products/dw-ea25-15-peach
3 Piece Embroidered Paper Cotton Suit |  DW-EA25-58,"Rs.25,990",Red,https://www.mariab.pk/cdn/shop/files/DWEA2558Front_A_{width}x.jpg?v=1746883210,https://www.mariab.pk/products/dw-ea25-58-red
3 Piece Embroidered Paper Cotton Suit |  DW-EA25-58,"Rs.25,990",Peach,https://www.mariab.pk/cdn/shop/files/DWEA2558Front_A_2_{width}x.jpg?v=1746882934,https://www.mariab.pk/products/dw-ea25-58-peach
3 Piece Embroidered Lawn Suit |  DW-EA25-37,"Rs.22,990",Coffee,https://www.mariab.pk/cdn/shop/files/DWEA2537Front_A_{width}x.jpg?v=1746882782,https://www.mariab.pk/products/dw-ea25-37-coffee
3 Piece Embroidered Lawn Suit |  DW-EA25-15,"Rs.26,990",Peach,https://www.mariab.pk/cdn/shop/files/DWEA2515Front_A_{width}x.jpg?v=1746797781,https://www.mariab.pk/products/dw-ea25-15-peach
3 Piece Embroidered Paper Cotton Suit |  DW-EA25-58,"Rs.25,990",Red,https://www.mariab.pk/cdn/shop/files/DWEA2558Front_A_{width}x.jpg?v=1746883210,https://www.mariab.pk/products/dw-ea25-58-red
3 Piece Embroidered Paper Cotton Suit |  DW-EA25-58,"Rs.25,990",Peach,https://www.mariab.pk/cdn/shop/files/DWEA2558Front_A_2_{width}x.jpg?v=1746882934,https://www.mariab.pk/products/dw-ea25-58-peach
3 Piece Embroidered Lawn Suit |  DW-EA25-37,"Rs.22,990",Coffee,https://www.mariab.pk/cdn/shop/files/DWEA2537Front_A_{width}x.jpg?v=1746882782,https://www.mariab.pk/products/dw-ea25-37-coffee
3 Piece Embroidered Lawn Suit |  DW-EA25-15,"Rs.26,990",Peach,https://www.mariab.pk/cdn/shop/files/DWEA2515Front_A_{width}x.jpg?v=1746797781,https://www.mariab.pk/products/dw-ea25-15-peach
