Name,Price,Color,Image,Link
3 Piece - Digital Printed Embroidered Suit - 42501859,"Rs. 11,490.00",Coral,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501859
3 Piece - Digital Printed Embroidered Suit - 42501839,"Rs. 8,490.00",Black,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501839
3 Piece - Digital Printed Embroidered Suit - 42501847,"Rs. 8,490.00",Light,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501847
3 Piece -  Printed Suit - 42501968,"Rs. 4,490.00",Pink,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501968
3 Piece - Digital Printed Embroidered Suit - 42501700,"Rs. 7,490.00",ful,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501700
3 Piece - Digital Printed Suit - 42501974,"Rs. 5,990.00",Floral,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501974
2 Piece - Digital Printed Suit - 42501783,"Rs. 3,290.00",White,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501783
2 Piece - Digital Printed Embroidered Suit - 42501731,"Rs. 4,290.00",Green,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501731
3 Piece - Embroidered Suit - 42501415,"Rs. 14,990.00",Black,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501415
3 Piece - Embroidered Suit - 42501414,"Rs. 14,990.00",Skin,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501414
3 Piece - Embroidered Suit - 42501413,"Rs. 14,990.00",Off,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501413
3 Piece - Embroidered Suit - 42501411,"Rs. 14,990.00",Light,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501411
3 Piece - Embroidered Suit - 42501410,"Rs. 14,990.00",Mint,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501410
3 Piece - Embroidered Suit - 42501409,"Rs. 14,990.00",Peach,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501409
3 Piece - Embroidered Suit - 42501406,"Rs. 14,990.00",Peachy,https://nishatlinen.com/cdn/shop/files/icons8-truck-64.png?height=25&v=1673007364,https://nishatlinen.com/products/42501406
