Name,Price,Color,Image,URL
3 Piece - Embroidered Suit - KFE25-34,"Rs. 16,990.00",Orange,https://nishatlinen.com/cdn/shop/files/KFE25-34-_4.jpg?v=1741254500&width=720,https://nishatlinen.com/products/kfe25-34
3 Piece - Printed Suit - KFE25-82,"Rs. 16,990.00",Apple Green,https://nishatlinen.com/cdn/shop/files/KFE25-82-_1.jpg?v=1741253500&width=720,https://nishatlinen.com/products/kfe25-82
3 Piece - Embroidered Suit - KFS25-45,"Rs. 11,990.00",Ivory,https://nishatlinen.com/cdn/shop/files/KFS25-45-_2.jpg?v=1738219952&width=720,https://nishatlinen.com/products/kfs25-45
2 Piece - Embroidered Suit - KFS25-29,"Rs. 14,990.00",Grey,https://nishatlinen.com/cdn/shop/files/KFS25-29-_2.jpg?v=1738213963&width=720,https://nishatlinen.com/products/kfs25-29
2 Piece - Basic Suit - KFS25-20,"Rs. 7,990.00",Grey,https://nishatlinen.com/cdn/shop/files/KFS25-20-_2.jpg?v=1738211968&width=720,https://nishatlinen.com/products/kfs25-20
2 Piece - Embroidered Suit - KFS25-65,"Rs. 8,490.00",Beige,https://nishatlinen.com/cdn/shop/files/KFS25-64-_2_2b9f260d-4526-4682-ae9b-53fc71fee757.jpg?v=1738233695&width=720,https://nishatlinen.com/products/kfs25-65
2 Piece - Embroidered Suit - KFS25-64,"Rs. 7,990.00",Beige,https://nishatlinen.com/cdn/shop/files/KFS25-64-_13.jpg?v=1738216781&width=720,https://nishatlinen.com/products/kfs25-64
3 Piece - Printed Suit - KPS25-05,"Rs. 11,990.00",Ivory,https://nishatlinen.com/cdn/shop/files/KPS25-05-_3.jpg?v=1738220188&width=720,https://nishatlinen.com/products/kps25-05
2 Piece - Embroidered Suit - KPS25-07,"Rs. 8,490.00",Rust,https://nishatlinen.com/cdn/shop/files/KPS25-07-_1.jpg?v=1738216258&width=720,https://nishatlinen.com/products/kps25-07
2 Piece - Basic Suit - KFS25-39,"Rs. 6,990.00",Ecru,https://nishatlinen.com/cdn/shop/files/KFS25-39-_1.jpg?v=1738212040&width=720,https://nishatlinen.com/products/kfs25-39
Embroidered Shirt - KFS25-06,"Rs. 6,490.00",White,https://nishatlinen.com/cdn/shop/files/KFS25-06-_3.jpg?v=1738219251&width=720,https://nishatlinen.com/products/kfs25-06
2 Piece - Embroidered Suit - KFS25-32,"Rs. 9,490.00",Orange,https://nishatlinen.com/cdn/shop/files/KFS25-32-_3.jpg?v=1738214037&width=720,https://nishatlinen.com/products/kfs25-32
3 Piece - Printed Embroidered Suit - KFE25-78,"Rs. 16,990.00",Blue,https://nishatlinen.com/cdn/shop/files/KFE25-78-_4.jpg?v=1740555555&width=720,https://nishatlinen.com/products/kfe25-78
3 Piece - Embroidered Suit - KFE25-38,"Rs. 20,990.00",Pink,https://nishatlinen.com/cdn/shop/files/KFE25-38-_1.jpg?v=1740559939&width=720,https://nishatlinen.com/products/kfe25-38
3 Piece - Printed Suit - KFE25-89,"Rs. 14,990.00",Lilac,https://nishatlinen.com/cdn/shop/files/KFE25-89-_3.jpg?v=1740556826&width=720,https://nishatlinen.com/products/kfe25-89
3 Piece - Printed Embroidered Suit - KFE25-73,"Rs. 9,990.00",Ivory,https://nishatlinen.com/cdn/shop/files/KFE25-73-_3.jpg?v=1741254629&width=720,https://nishatlinen.com/products/kfe25-73
2 Piece - Printed Embroidered Suit - KFE25-48,"Rs. 11,990.00",s,https://nishatlinen.com/cdn/shop/files/KFE25-48-_1.jpg?v=1741242991&width=720,https://nishatlinen.com/products/kfe25-48
Embroidered Shirt - KFE25-09,"Rs. 7,990.00",Beige,https://nishatlinen.com/cdn/shop/files/KFE25-09-_1.jpg?v=1740560239&width=720,https://nishatlinen.com/products/kfe25-09
2 Piece - Embroidered Suit - KFE25-66,"Rs. 11,990.00",Royal Blue,https://nishatlinen.com/cdn/shop/files/KFE25-66-_3.jpg?v=1740560756&width=720,https://nishatlinen.com/products/kfe25-66
3 Piece -Embroidered Suit - KFE25-76,"Rs. 18,990.00",Lime,https://nishatlinen.com/cdn/shop/files/KFE25-76-_1.jpg?v=1741253345&width=720,https://nishatlinen.com/products/kfe25-76
3 Piece - Embroidered Suit - KFE25-30,"Rs. 16,990.00",Apple Green,https://nishatlinen.com/cdn/shop/files/KFE25-30-_4.jpg?v=1741255088&width=720,https://nishatlinen.com/products/kfe25-30
3 Piece - Embroidered Suit - KFE25-90,"Rs. 20,990.00",Ivory,https://nishatlinen.com/cdn/shop/files/KFE25-90-_4.jpg?v=1741253288&width=720,https://nishatlinen.com/products/kfe25-90
3 Piece - Printed Embroidered Suit - KFE25-55,"Rs. 20,990.00",Olive Green,https://nishatlinen.com/cdn/shop/files/KFE25-55-_3.jpg?v=1740377916&width=720,https://nishatlinen.com/products/kfe25-55
2 Piece - Embroidered Suit - KFE25-41,"Rs. 12,990.00",Aqua,https://nishatlinen.com/cdn/shop/files/KFE25-41-_4.jpg?v=1741255261&width=720,https://nishatlinen.com/products/kfe25-41
