Name,Price,Color,Image,URL
3 Piece - Embroidered Suit - 42519208,"Rs. 14,500.00",Ivory,https://nishatlinen.com/cdn/shop/files/42519208-_6.jpg?v=1746159597&width=720,https://nishatlinen.com/products/42519208
3 Piece - Embroidered Suit - 42519102,"Rs. 15,500.00",Light Beige,https://nishatlinen.com/cdn/shop/files/42519102-_6.jpg?v=1746159660&width=720,https://nishatlinen.com/products/42519102
3 Piece - Embroidered Suit - 42519106,"Rs. 15,500.00",Black,https://nishatlinen.com/cdn/shop/files/42519106-_9.jpg?v=1746159931&width=720,https://nishatlinen.com/products/42519106
3 Piece - Embroidered Suit - 42519201,"Rs. 14,500.00",Beige,https://nishatlinen.com/cdn/shop/files/42519201-_7.jpg?v=1746159921&width=720,https://nishatlinen.com/products/42519201
3 Piece - Embroidered Suit - 42519202,"Rs. 15,500.00",Mint,https://nishatlinen.com/cdn/shop/files/42519202-_6.jpg?v=1746159918&width=720,https://nishatlinen.com/products/42519202
3 Piece - Embroidered Suit - 42519203,"Rs. 14,500.00",Olive,https://nishatlinen.com/cdn/shop/files/42519203-_3.jpg?v=1746159616&width=720,https://nishatlinen.com/products/42519203
3 Piece - Embroidered Suit - 42519425,"Rs. 15,500.00",Black,https://nishatlinen.com/cdn/shop/files/42519425-_1_18477417-496e-4591-acf0-8ed1f52dcfac.jpg?v=1741157458&width=720,https://nishatlinen.com/products/42519425
3 Piece - Embroidered Suit - 42519196,"Rs. 13,500.00",may slightly vary due to photographic lighting sources or your device settings,https://nishatlinen.com/cdn/shop/files/42519196-_4_a54d8655-ef9d-4364-91ff-ec3d834e3bfe.jpg?v=1741157465&width=720,https://nishatlinen.com/products/42519196
3 Piece - Embroidered Suit - 42519195,"Rs. 13,500.00",Peach,https://nishatlinen.com/cdn/shop/files/42519195-_1_10ed2946-d483-42db-8bf6-6b4395291ad1.jpg?v=1741157467&width=720,https://nishatlinen.com/products/42519195
3 Piece - Embroidered Suit - 42519373,"Rs. 13,500.00",White,https://nishatlinen.com/cdn/shop/files/42519373-_3_2ee88770-00f9-4d36-9f17-1b1d79d1a6a3.jpg?v=1741157459&width=720,https://nishatlinen.com/products/42519373
