Name,Price,Color,Image,Link
3 Piece Embroidered Paper Cotton Suit |  DW-EA25-58,"Rs.25,990",Red,https://www.mariab.pk/cdn/shop/files/DWEA2558Front_A_{width}x.jpg?v=1746883210,https://www.mariab.pk/products/dw-ea25-58-red
3 Piece Embroidered Paper Cotton Suit |  DW-EA25-58,"Rs.25,990",Peach,https://www.mariab.pk/cdn/shop/files/DWEA2558Front_A_2_{width}x.jpg?v=1746882934,https://www.mariab.pk/products/dw-ea25-58-peach
3 Piece Embroidered Lawn Suit |  DW-EA25-37,"Rs.22,990",Coffee,https://www.mariab.pk/cdn/shop/files/DWEA2537Front_A_{width}x.jpg?v=1746882782,https://www.mariab.pk/products/dw-ea25-37-coffee
3 Piece Embroidered Lawn Suit |  DW-EA25-15,"Rs.26,990",Peach,https://www.mariab.pk/cdn/shop/files/DWEA2515Front_A_{width}x.jpg?v=1746797781,https://www.mariab.pk/products/dw-ea25-15-peach
3 Piece Embroidered Lawn Suit |  DW-EA25-15,"Rs.26,990",Blue,https://www.mariab.pk/cdn/shop/files/DWEA2515BlueFront_A_{width}x.jpg?v=1746797733,https://www.mariab.pk/products/dw-ea25-15-blue
3 Piece Embroidered Dobby Suit |  DW-EA25-122,"Rs.25,990",Off,https://www.mariab.pk/cdn/shop/files/DWEA25122OffwhiteFront_A_{width}x.jpg?v=1746797693,https://www.mariab.pk/products/dw-ea25-122-off-white
3 Piece Embroidered Raw Silk Suit | SF-EA25-02,"Rs.52,990",Pink,https://www.mariab.pk/cdn/shop/files/SF_EA_25_02_Front_A_{width}x.jpg?v=1746774376,https://www.mariab.pk/products/sf-ea25-02-pink
3 Piece Embroidered Lawn Suit |  DW-EA25-37,"Rs.22,990",Black,https://www.mariab.pk/cdn/shop/files/DWEA2537BlackFront_A_{width}x.jpg?v=1746627845,https://www.mariab.pk/products/dw-ea25-37-black
3 Piece Embroidered Dobby Suit |  DW-EA25-16,"Rs.28,990",Coffee,https://www.mariab.pk/cdn/shop/files/DWEA2516Front_A_{width}x.jpg?v=1746627779,https://www.mariab.pk/products/dw-ea25-16-coffee
2 Piece Embroidered Raw Silk Suit | SF-EA25-16,"Rs.62,990",Brown,https://www.mariab.pk/cdn/shop/files/SF_Ea_25_16_Brown_Front_A_{width}x.jpg?v=1746776658,https://www.mariab.pk/products/sf-ea25-16-brown
3 Piece Embroidered Lawn Suit |  DW-EA25-86,"Rs.26,990",Sky,https://www.mariab.pk/cdn/shop/files/DWEA2586BlueFront_A_{width}x.jpg?v=1746520078,https://www.mariab.pk/products/dw-ea25-86-sky-blue
3 Piece Embroidered Raw Silk Suit | SF-EF25-62,"Rs.38,990",Light,https://www.mariab.pk/cdn/shop/files/SFEF2562Front_A_{width}x.jpg?v=1746430496,https://www.mariab.pk/products/sf-ef25-62-light-blue
3 Piece Embroidered Dobby Suit |  DW-EA25-16,"Rs.28,990",Blue,https://www.mariab.pk/cdn/shop/files/DW_EA_25_16_Blue_Front_A_{width}x.jpg?v=1746773574,https://www.mariab.pk/products/dw-ea25-16-blue
Embroidered Net Saree | SF-EA25-17,"Rs.81,990",Grey,https://www.mariab.pk/cdn/shop/files/SF_EA_25_17_Grey_Skin_Front_A_{width}x.jpg?v=1746774198,https://www.mariab.pk/products/sf-ea25-17-grey-skin
3 Piece Embroidered Organza Suit | SF-EF25-64,"Rs.79,990",Off,https://www.mariab.pk/cdn/shop/files/SF_EF_25_64_Front_A_{width}x.jpg?v=1746619373,https://www.mariab.pk/products/sf-ef25-64-off-white
3 Piece Embroidered Raw Silk Suit | SF-EF25-62,"Rs.37,990",Light,https://www.mariab.pk/cdn/shop/files/SFEF2562PeachFront_A_{width}x.jpg?v=1746027336,https://www.mariab.pk/products/sf-ef25-62-light-pink
3 Piece Embroidered Lawn Suit |  DW-EA25-60,"Rs.19,990",Off,https://www.mariab.pk/cdn/shop/files/DW_EA_25_60_Blue_Front_A_{width}x.jpg?v=1746773711,https://www.mariab.pk/products/dw-ea25-60-off-white-and-blue
3 Piece Embroidered Suit | SF-EF23-08R1,"Rs.30,990",Not Available,https://www.mariab.pk/cdn/shop/files/SF-EF23-08-Maroon_3ddcdff7-9160-4ac3-b147-9cbf34ba0903_{width}x.jpg?v=1746013058,https://www.mariab.pk/products/sf-ef23-08r1-maroon
3 Piece Embroidered Lawn Suit |  DW-EA25-74,"Rs.27,990",Pink,https://www.mariab.pk/cdn/shop/files/DW_EA_25_74_Front_A_{width}x.jpg?v=1746616529,https://www.mariab.pk/products/dw-ea25-74-pink
3 Piece Embroidered Dobby Suit |  DW-EA25-66,"Rs.25,490",Pink,https://www.mariab.pk/cdn/shop/files/DWEA2566PinkFront_A_{width}x.jpg?v=1746013445,https://www.mariab.pk/products/dw-ea25-66-pink
3 Piece Embroidered Lawn Suit |  DW-EA25-60,"Rs.19,990",Off,https://www.mariab.pk/cdn/shop/files/DWEA2560PinkFront_A_{width}x.jpg?v=1746013395,https://www.mariab.pk/products/dw-ea25-60-off-white-and-pink
3 Piece Embroidered Lawn Suit |  DW-EA25-39,"Rs.29,990",Pink,https://www.mariab.pk/cdn/shop/files/DWEA2539PinkFront_A_{width}x.jpg?v=1746013329,https://www.mariab.pk/products/dw-ea25-39-pink
3 Piece Embroidered Lawn Suit |  DW-EA25-12,"Rs.23,990",Purple,https://www.mariab.pk/cdn/shop/files/DWEA2512PurpleFront_A_{width}x.jpg?v=1746013270,https://www.mariab.pk/products/dw-ea25-12-purple
