Name,Price,Color,Image,Link
Yarn Dyed Shirt-Embroidered (Pret),"Rs. 4,899",Black,https://www.limelight.pk/cdn/shop/files/A1858SH-SML-034_1_-YarnDyedShirt-Embroidered_Pret.jpg?v=1746444592&width=416,https://www.limelight.pk/products/a1858sh-xsl-034
2 Piece Lawn Suit-Dyed (Pret),"Rs. 4,499",Olive,https://www.limelight.pk/cdn/shop/files/A1920ST-SML-360_1_-2PieceLawnSuit-Dyed_Pret.jpg?v=1746443011&width=416,https://www.limelight.pk/products/a1920st-xsl-360
2 Piece Lawn Suit-Printed (Pret),"Rs. 4,999",Red,https://www.limelight.pk/cdn/shop/files/A1922ST-SML-565_1_-2PieceLawnSuit-Printed_Pret.jpg?v=1746442113&width=416,https://www.limelight.pk/products/a1922st-xsl-565
Grip Shirt-Dyed (Pret),"Rs. 4,499",Black,https://www.limelight.pk/cdn/shop/files/A2542SH-SML-034_1_-GripShirt-Dyed_Pret.jpg?v=1746440708&width=416,https://www.limelight.pk/products/a2542sh-xsl-034
Chiffon Shirt-Dyed (Pret),"Rs. 3,899",Black,https://www.limelight.pk/cdn/shop/files/W1942SH-SML-034_1_-ChiffonShirt-Dyed_Pret.jpg?v=1746440105&width=416,https://www.limelight.pk/products/w1942sh-xsl-034
2 Piece Lawn Suit-Printed (Pret),"Rs. 5,499",White,https://www.limelight.pk/cdn/shop/files/A1103ST-SML-001_7_-2PieceLawnSuit-Printed_Pret.jpg?v=1746182329&width=416,https://www.limelight.pk/products/a1103st-xsl-001
2 Piece Silk Suit-Embroidered (Pret),"Rs. 8,999",Grey,https://www.limelight.pk/cdn/shop/files/P9922ST-SML-049_1_-2PieceSilkSuit-Embroidered_Pret.jpg?v=1746182626&width=416,https://www.limelight.pk/products/p9922st-xsl-049
3 Piece Lawn Suit-Embroidered (Pret),"Rs. 8,499",Pink,https://www.limelight.pk/cdn/shop/files/A2058SU-SML-489_1_-3PieceLawnSuit-Embroidered_Pret.jpg?v=1746011622&width=416,https://www.limelight.pk/products/a2058su-xsl-489
3 Piece Lawn Suit-Embroidered (Pret),"Rs. 9,699",Sky Blue,https://www.limelight.pk/cdn/shop/files/A1973SU-SML-199_1_-3PieceLawnSuit-Embroidered_Pret.jpg?v=1746010274&width=416,https://www.limelight.pk/products/a1973su-xsl-199
3 Piece Lawn Suit-Embroidered (Pret),"Rs. 9,699",Pink,https://www.limelight.pk/cdn/shop/files/A1969SU-SML-489_2_-3PieceLawnSuit-Embroidered_Pret.jpg?v=1746009855&width=416,https://www.limelight.pk/products/a1969su-xsl-489
3 Piece Lawn Suit-Embroidered (Pret),"Rs. 9,499",Yellow,https://www.limelight.pk/cdn/shop/files/A1968SU-SML-374_1_-3PieceLawnSuit-Embroidered_Pret.jpg?v=1746009408&width=416,https://www.limelight.pk/products/a1968su-xsl-374
3 Piece Lawn Suit-Embroidered (Pret),"Rs. 8,499",Mint,https://www.limelight.pk/cdn/shop/files/A1892SU-SML-329_1_-3PieceLawnSuit-Embroidered_Pret.jpg?v=1746183533&width=416,https://www.limelight.pk/products/a1892su-xsl-329
2 Piece Grip Suit-Embroidered (Pret),"Rs. 7,999",Blue,https://www.limelight.pk/cdn/shop/files/A0921ST-SML-143_1_-2PieceGripSuit-Embroidered_Pret.jpg?v=1746006513&width=416,https://www.limelight.pk/products/a0921st-xsl-143
2 Piece Silk Suit-Embroidered (Pret),"Rs. 9,499",Teal,https://www.limelight.pk/cdn/shop/files/A0824ST-SML-256_1_-2PieceSilkSuit-Embroidered_Pret.jpg?v=1746005617&width=416,https://www.limelight.pk/products/a0824st-xsl-256
2 Piece Silk Suit-Embroidered (Pret),"Rs. 7,299",Sky Blue,https://www.limelight.pk/cdn/shop/files/A0623ST-SML-199_1_-2PieceSilkSuit-Embroidered_Pret.jpg?v=1746183655&width=416,https://www.limelight.pk/products/a0623st-xsl-199
Embroidered Printed Grip Kaftan (Pret),"Rs. 4,899",Yellow,https://www.limelight.pk/cdn/shop/files/A0568KF-XSL-374_1_-EmbroideredKaftan.jpg?v=1746003937&width=416,https://www.limelight.pk/products/a0568kf-xsl-374
Yarn Dyed Printed Shirt (Pret),"Rs. 4,199",Sky Blue,https://www.limelight.pk/cdn/shop/files/A2449TN-SML-199_1_-YarnDyedTunic-Printed_Pret.jpg?v=1745997738&width=416,https://www.limelight.pk/products/a2449tn-xsl-199
Embroidered Lawn Shirt  (Pret),"Rs. 4,699",Mint,https://www.limelight.pk/cdn/shop/files/A1473SH-SML-329_1_-EmbroideredCambricShirt_Pret.jpg?v=1746184989&width=416,https://www.limelight.pk/products/a1473sh-xsl-329
